munic;codigo_ibge;latitude;longitude;grafia_correta
Conchal;3512209;-223.375;-471.729;1
Conchas;3512308;-230.154;-480.134;1
Cordeirópolis;3512407;-224.778;-474.519;1
Coroados;3512506;-213.521;-502.859;1
Coronel Macedo;3512605;-236.261;-49.31;1
Corumbataí;3512704;-222.213;-476.215;1
Cosmópolis;3512803;-226.419;-471.926;1
Cosmorama;3512902;-204.755;-497.827;1
Cotia;3513009;-236.022;-46.919;1
Cravinhos;3513108;-21.338;-477.324;1
Cristais Paulista;3513207;-204.036;-474.209;1
Cruzália;3513306;-227.373;-507.909;1
Cruzeiro;3513405;-225.728;-44.969;1
Cubatão;3513504;-238.911;-46.424;1
Cunha;3513603;-230.731;-449.576;1
Descalvado;3513702;-219.002;-476.181;1
Diadema;3513801;-236.813;-466.205;1
Dirce Reis;3513850;-204.642;-506.073;1
Divinolândia;3513900;-216.637;-467.361;1
Dobrada;3514007;-215.155;-483.935;1
Dois Córregos;3514106;-223.673;-483.819;1
Dolcinópolis;3514205;-20.124;-505.149;1
Dourado;3514304;-221.044;-483.178;1
Dracena;3514403;-214.843;-51.535;1
Duartina;3514502;-224.146;-494.084;1
Dumont;3514601;-212.324;-479.756;1
Echaporã;3514700;-224.326;-502.038;1
Eldorado;3514809;-245.281;-481.141;1
Elias Fausto;3514908;-230.428;-473.682;1
Elisiário;3514924;-211.678;-491.146;1
Embaúba;3514957;-209.796;-488.325;1
Embu das Artes;3515004;-236.437;-468.579;1
Embu-Guaçu;3515103;-238.297;-468.136;1
Emilianópolis;3515129;-218.314;-514.832;1
Engenheiro Coelho;3515152;-224.836;-47.211;1
Espírito Santo do Pinhal;3515186;-221.909;-467.477;1
Espírito Santo do Turvo;3515194;-226.925;-494.341;1
Estiva Gerbi;3557303;-222.713;-469.481;1
Estrela d'Oeste;3515202;-202.875;-504.049;1
Estrela do Norte;3515301;-224.859;-516.632;1
Euclides da Cunha Paulista;3515350;-225.545;-525.928;1
Fartura;3515400;-233.916;-495.124;1
Fernando Prestes;3515608;-212.661;-486.874;1
Fernandópolis;3515509;-202.806;-502.471;1
Fernão;3515657;-223.607;-495.187;1
Ferraz de Vasconcelos;3515707;-235.411;-46.371;1
Flora Rica;3515806;-216.727;-513.821;1
Floreal;3515905;-206.752;-501.513;1
Flórida Paulista;3516002;-216.127;-511.724;1
Florínia;3516101;-22.868;-506.814;1
Franca;3516200;-205.352;-474.039;1
Francisco Morato;3516309;-232.792;-467.448;1
Franco da Rocha;3516408;-233.229;-46.729;1
Gabriel Monteiro;3516507;-215.294;-505.573;1
Gália;3516606;-222.918;-495.504;1
Garça;3516705;-222.125;-496.546;1
Gastão Vidigal;3516804;-207.948;-501.912;1
Gavião Peixoto;3516853;-218.367;-484.957;1
General Salgado;3516903;-206.485;-50.364;1
Getulina;3517000;-217.961;-499.312;1
Glicério;3517109;-213.812;-502.123;1
Guaiçara;3517208;-216.195;-498.013;1
Guaimbã;3517307;-219.091;-498.986;1
Guaíra;3517406;-203.196;-48.312;1
Guapiaçu;3517505;-207.959;-492.172;1
Guapiara;3517604;-241.892;-485.295;1
Guará;3517703;-204.302;-478.236;1
Guaraçaí;3517802;-210.292;-512.119;1
Guaraci;3517901;-204.977;-489.391;1
Guarani d'Oeste;3518008;-200.746;-503.411;1
Guarantã;3518107;-218.942;-495.914;1
Guararapes;3518206;-212.544;-506.453;1
Guararema;3518305;-234.112;-460.369;1
Guaratinguetá;3518404;-228.075;-451.938;1
Guareí;3518503;-233.714;-481.837;1
Guariba;3518602;-213.594;-482.316;1
Guarujá;3518701;-239.888;-46.258;1
Guarulhos;3518800;-234.538;-465.333;1
Guatapará;3518859;-214.944;-480.356;1
Guzolândia;3518909;-206.467;-506.645;1
Herculândia;3519006;-220.038;-503.907;1
Holambra;3519055;-226.405;-470.487;1
Hortolândia;3519071;-228.529;-472.143;1
Iacanga;3519105;-218.896;-49.031;1
Iacri;3519204;-218.572;-506.932;1
Iaras;3519253;-228.682;-491.634;1
Ibaté;3519303;-219.584;-479.882;1
Ibirá;3519402;-21.083;-492.448;1
Ibirarema;3519501;-228.185;-500.739;1
Ibitinga;3519600;-217.562;-488.319;1
Ibiúna;3519709;-236.596;-47.223;1
Icém;3519808;-203.391;-491.915;1
Iepê;3519907;-226.602;-510.779;1
Igaraçu do Tietê;3520004;-22.509;-485.597;1
Igarapava;3520103;-200.407;-477.466;1
Igaratá;3520202;-232.037;-46.157;1
Iguape;3520301;-24.699;-475.537;1
Ilha Comprida;3520426;-247.307;-475.383;1
Ilha Solteira;3520442;-204.326;-513.426;1
Ilhabela;3520400;-237.785;-453.552;1
Ilha bela;3520400;-237.785;-453.552;0
Indaiatuba;3520509;-230.816;-472.101;1
Indiana;3520608;-221.738;-512.555;1
Indiaporã;3520707;-19.979;-502.909;1
Inúbia Paulista;3520806;-217.695;-509.633;1
Ipaussu;3520905;-230.575;-496.279;1
Iperó;3521002;-233.513;-476.927;1
Ipeúna;3521101;-224.355;-477.151;1
Ipiguá;3521150;-206.557;-493.842;1
Iporanga;3521200;-245.847;-485.971;1
Ipuã;3521309;-204.438;-480.129;1
Iracemápolis;3521408;-225.832;-47.523;1
Irapuã;3521507;-212.768;-494.164;1
Irapuru;3521606;-215.684;-513.472;1
Itaberá;3521705;-238.638;-49.14;1
Itaí;3521804;-234.213;-49.092;1
Itajobi;3521903;-213.123;-490.629;1
Itaju;3522000;-219.857;-488.116;1
Itanhaém;3522109;-241.736;-46.788;1
Itaóca;3522158;-246.393;-488.413;1
Itapecerica da Serra;3522208;-237.161;-468.572;1
Itapetininga;3522307;-235.886;-480.483;1
Itapeva;3522406;-239.788;-488.764;1
Itapevi;3522505;-235.488;-469.327;1
Itapira;3522604;-224.357;-468.224;1
Itapirapuã Paulista;3522653;-24.572;-491.661;1
Itápolis;3522703;-215.942;-488.149;1
Itaporanga;3522802;-237.043;-494.819;1
Itapuí;3522901;-222.324;-487.197;1
Itapura;3523008;-206.419;-515.063;1
Itaquaquecetuba;3523107;-234.835;-463.457;1
Itararé;3523206;-241.085;-493.352;1
Itariri;3523305;-242.834;-471.736;1
Itatiba;3523404;-230.035;-468.464;1
Itatinga;3523503;-231.047;-486.157;1
Itirapina;3523602;-222.562;-478.166;1
Itirapuã;3523701;-206.416;-472.194;1
Itobi;3523800;-217.309;-469.743;1
Itu;3523909;-232.544;-472.927;1
Itupeva;3524006;-231.526;-470.593;1
Ituverava;3524105;-203.355;-477.902;1
Jaborandi;3524204;-206.884;-484.112;1
Jaboticabal;3524303;-21.252;-483.252;1
Jacareí;3524402;-232.983;-459.658;1
Jaci;3524501;-208.805;-495.797;1
Jacupiranga;3524600;-246.963;-480.064;1
Jaguariúna;3524709;-227.037;-469.851;1
Jales;3524808;-202.672;-505.494;1
Jambeiro;3524907;-232.522;-456.942;1
Jandira;3525003;-235.275;-469.023;1
Jardinópolis;3525102;-210.176;-477.606;1
Jarinu;3525201;-231.039;-46.728;1
Jaú;3525300;-222.936;-485.592;1
Jeriquara;3525409;-203.116;-475.918;1
Joanópolis;3525508;-22.927;-462.741;1
João Ramalho;3525607;-222.473;-507.694;1
José Bonifácio;3525706;-210.551;-496.892;1
Júlio Mesquita;3525805;-220.112;-497.873;1
Jumirim;3525854;-230.884;-477.868;1
Jundiaí;3525904;-231.852;-468.974;1
Junqueirópolis;3526001;-215.103;-514.342;1
Juquiá;3526100;-243.101;-476.426;1
Juquitiba;3526209;-239.244;-470.653;1
Lagoinha;3526308;-230.846;-451.944;1
Laranjal Paulista;3526407;-230.506;-478.375;1
Lavínia;3526506;-211.639;-510.412;1
Lavrinhas;3526605;-22.57;-449.024;1
Leme;3526704;-221.809;-473.841;1
Lençóis Paulista;3526803;-226.027;-488.037;1
Limeira;3526902;-22.566;-47.397;1
Lindóia;3527009;-225.226;-46.65;1
Lins;3527108;-216.718;-497.526;1
Lorena;3527207;-227.334;-451.197;1
Lourdes;3527256;-20.966;-502.263;1
Louveira;3527306;-230.856;-469.484;1
Lucélia;3527405;-217.182;-510.215;1
Lucianópolis;3527504;-224.294;-49.522;1
Luís Antônio;3527603;-21.55;-477.801;1
Luiziânia;3527702;-216.737;-503.294;1
Lupércio;3527801;-224.146;-49.818;1
Lutécia;3527900;-223.384;-50.394;1
Macatuba;3528007;-225.002;-487.102;1
Macaubal;3528106;-208.022;-499.687;1
Macedônia;3528205;-201.444;-501.973;1
Magda;3528304;-206.445;-502.305;1
Mairinque;3528403;-235.398;-47.185;1
Mairiporã;3528502;-233.171;-465.897;1
Manduri;3528601;-230.056;-493.202;1
Marabá Paulista;3528700;-221.068;-519.617;1
Maracaí;3528809;-226.149;-506.713;1
Marapoama;3528858;-212.587;-49.13;1
Mariápolis;3528908;-217.959;-511.824;1
Marília;3529005;-222.171;-499.501;1
Marinópolis;3529104;-204.389;-508.254;1
Martinópolis;3529203;-221.462;-511.709;1
Matão;3529302;-216.025;-48.364;1
Mauá;3529401;-236.677;-464.613;1
Mendonça;3529500;-211.757;-495.791;1
Meridiano;3529609;-203.579;-501.811;1
Mesópolis;3529658;-199.684;-506.326;1
Miguelópolis;3529708;-201.796;-48.031;1
Mineiros do Tietã;3529807;-22.412;-48.451;1
Mira Estrela;3530003;-199.789;-50.139;1
Miracatu;3529906;-242.766;-474.625;1
Mirandópolis;3530102;-211.313;-511.035;1
Mirante do Paranapanema;3530201;-222.904;-519.084;1
Mirassol;3530300;-208.169;-495.206;1
Mirassolândia;3530409;-206.179;-494.617;1
Mococa;3530508;-214.647;-470.024;1
Mogi das Cruzes;3530607;-235.208;-461.854;1
Mogi Guaçu;3530706;-223.675;-469.428;1
Mog Guaçu;3530706;-223.675;-469.428;0
Mogi Mirim;3530805;-224.332;-469.532;1
Moji Mirim;3530805;-224.332;-469.532;0
Mombuca;3530904;-229.285;-47.559;1
Monções;3531001;-208.509;-500.975;1
Mongaguá;3531100;-240.809;-466.265;1
Monte Alegre do Sul;3531209;-226.817;-46.681;1
Monte Alto;3531308;-212.655;-484.971;1
Monte Aprazível;3531407;-20.768;-497.184;1
Monte Azul Paulista;3531506;-209.065;-486.387;1
Monte Castelo;3531605;-212.981;-515.679;1
Monte Mor;3531803;-22.945;-473.122;1
Monteiro Lobato;3531704;-229.544;-458.407;1
Morro Agudo;3531902;-207.288;-480.581;1
Morungaba;3532009;-228.811;-467.896;1
Motuca;3532058;-215.103;-481.538;1
Murutinga do Sul;3532108;-209.908;-512.774;1
Nantes;3532157;-226.156;-51.24;1
Narandiba;3532207;-224.057;-515.274;1
Natividade da Serra;3532306;-233.707;-454.468;1
Nazaré Paulista;3532405;-231.747;-463.983;1
Neves Paulista;3532504;-20.843;-496.358;1
Nhandeara;3532603;-206.945;-500.436;1
Nipoã;3532702;-209.114;-497.833;1
Nova Aliança;3532801;-210.156;-494.986;1
Nova Campina;3532827;-241.224;-489.022;1
Nova Canaã Paulista;3532843;-203.836;-509.483;1
Nova Castilho;3532868;-207.615;-503.477;1
Nova Europa;3532900;-217.765;-485.705;1
Nova Granada;3533007;-205.321;-493.123;1
Nova Guataporanga;3533106;-21.332;-516.447;1
Nova Independência;3533205;-211.026;-514.905;1
Nova Luzitânia;3533304;-20.856;-502.617;1
Nova Odessa;3533403;-227.832;-472.941;1
Novais;3533254;-209.893;-489.141;1
Novo Horizonte;3533502;-214.651;-492.234;1
Nuporanga;3533601;-207.296;-477.429;1
Ocauçu;3533700;-22.438;-49.922;1
Óleo;3533809;-229.435;-493.419;1
Olímpia;3533908;-207.366;-489.106;1
Onda Verde;3534005;-206.042;-492.929;1
Oriente;3534104;-221.549;-500.971;1
Orindiúva;3534203;-201.861;-493.464;1
Orlândia;3534302;-207.169;-478.852;1
Osasco;3534401;-235.324;-467.916;1
Oscar Bressane;3534500;-223.149;-502.811;1
Osvaldo Cruz;3534609;-217.968;-508.793;1
Ourinhos;3534708;-229.797;-498.697;1
Ouro Verde;3534807;-214.872;-517.024;1
Ouroeste;3534757;-200.061;-503.768;1
Pacaembu;3534906;-215.627;-512.654;1
Palestina;3535002;-20.39;-494.309;1
Palmares Paulista;3535101;-210.854;-488.037;1
Palmeira d'Oeste;3535200;-204.148;-507.632;1
Palmital;3535309;-227.858;-50.218;1
