munic;codigo_ibge;latitude;longitude;grafia_correta
Taiaçu;3553104;-211.431;-485.112;1
Taiúva;3553203;-211.223;-484.528;1
Tambaú;3553302;-217.029;-472.703;1
Tanabi;3553401;-206.228;-496.563;1
Tapiraí;3553500;-239.612;-475.062;1
Tapiratiba;3553609;-214.713;-467.448;1
Taquaral;3553658;-210.737;-484.126;1
Taquaritinga;3553708;-214.049;-485.103;1
Taquarituba;3553807;-235.307;-49.241;1
Taquarivaí;3553856;-239.211;-486.948;1
Tarabai;3553906;-223.016;-515.621;1
Tarumã;3553955;-227.429;-505.786;1
Tatuí;3554003;-233.487;-478.461;1
Taubaté;3554102;-230.104;-455.593;1
Tejupá;3554201;-233.425;-493.722;1
Teodoro Sampaio;3554300;-225.299;-521.682;1
Terra Roxa;3554409;-20.787;-483.314;1
Tietã;3554508;-231.101;-477.164;1
Timburi;3554607;-232.057;-496.096;1
Torre de Pedra;3554656;-232.462;-481.955;1
Torrinha;3554706;-224.237;-481.731;1
Trabiju;3554755;-220.388;-483.342;1
Tremembé;3554805;-229.571;-455.475;1
Trãs Fronteiras;3554904;-202.344;-508.905;1
Tuiuti;3554953;-228.193;-466.937;1
Tupã;3555000;-219.335;-505.191;1
Tupi Paulista;3555109;-213.825;-51.575;1
Turiúba;3555208;-209.428;-501.135;1
Turmalina;3555307;-200.486;-504.792;1
Ubarana;3555356;-21.165;-497.198;1
Ubatuba;3555406;-234.332;-450.834;1
Ubirajara;3555505;-225.272;-496.613;1
Uchoa;3555604;-209.511;-491.713;1
União Paulista;3555703;-208.862;-499.025;1
Urânia;3555802;-202.455;-506.455;1
Uru;3555901;-217.866;-492.848;1
Urupãs;3556008;-212.032;-492.931;1
Valentim Gentil;3556107;-204.217;-500.889;1
Valinhos;3556206;-229.698;-469.974;1
Valparaíso;3556305;-212.229;-508.699;1
Vargem;3556354;-22.887;-464.124;1
Vargem Grande do Sul;3556404;-218.322;-468.913;1
Vargem Grande Paulista;3556453;-235.993;-47.022;1
Várzea Paulista;3556503;-232.136;-468.234;1
Vera Cruz;3556602;-222.183;-498.207;1
Vinhedo;3556701;-230.302;-469.833;1
Viradouro;3556800;-208.734;-48.293;1
Vista Alegre do Alto;3556909;-211.692;-486.284;1
Vitória Brasil;3556958;-201.956;-504.875;1
Votorantim;3557006;-235.446;-474.388;1
Votuporanga;3557105;-204.237;-499.781;1
Zacarias;3557154;-210.506;-500.552;1
